Point2D
10
[(873.5332;639.7196), (43.718876;486.77594), (729.5865;182.08229), (614.9797;481.53073), (54.07244;414.84134), (789.3799;556.55273), (732.92993;167.6951), null, null, null]
[(993.42975;341.68674), (385.98853;55.269836), (810.57886;101.4421), (147.81445;452.93784), (427.60312;778.00995), (979.4691;243.46255), (395.3833;818.04755), null, null, null]
[(350.99786;428.684), (463.00082;307.47122), (845.6031;118.029236), (896.95593;583.10535), (2.188146;196.16461), (96.76522;313.583), (524.31665;587.6529), null, null, null]
[(932.1659;680.99884), (297.97708;433.15524), (900.42914;431.02963), (492.89566;557.25385), (523.1202;347.63004), (315.929;676.0323), (409.33145;590.1338), null, null, null]
[(841.67096;773.86945), (423.73187;157.4844), (728.2253;618.68335), (56.93936;200.43724), (50.781906;545.9346), (167.31096;397.87454), (144.45024;197.27689), null, null, null]
[(48.533203;6.0533285), (726.0732;987.1654), (84.848045;308.8419), (533.42316;347.85406), (590.90875;585.02686), (574.854;270.3132), (714.3835;491.63348), null, null, null]
[(692.9766;767.6807), (107.65243;941.8226), (577.2641;33.87034), (938.3144;755.24164), (762.6415;945.3067), (699.18475;997.5401), (452.68924;396.23212), null, null, null]
[(485.4169;930.8672), null, null, null, null, null, null, null, null, null]
[(362.71222;657.1165), (899.59845;647.9234), (676.79407;585.94403), (36.378742;430.53036), (930.6209;450.41595), (694.893;340.92737), (413.14627;979.65576), null, null, null]
[(64.80521;969.0583), (238.35016;256.78265), (902.7116;350.0532), (760.36304;958.32104), (818.32556;380.3199), (674.43085;212.15636), (471.17346;888.61646), null, null, null]
[(132.77817;858.20703), (795.65405;733.15594), (775.4977;683.9631), (836.4633;883.83154), (187.51305;747.1295), (511.1533;895.3925), (741.36975;556.97833), null, null, null]
[(775.27136;948.69135), (773.045;584.5), (30.266703;180.47292), (337.46;845.2153), (11.454105;659.3212), (562.8069;918.73584), (117.42806;299.45804), null, null, null]
[(179.33554;84.05012), (462.12338;33.135773), (279.95187;799.6186), (676.3245;531.95483), (214.4156;338.5619), (752.07776;958.28723), (530.62103;94.786644), null, null, null]
[(253.2187;812.44476), (388.25;316.6065), (105.205536;504.87732), (646.9053;542.4152), (848.44617;665.36914), null, null, null, null, null]
[(776.7871;905.1982), (485.7235;935.2231), (271.8978;512.5937), (324.8625;668.8272), (861.9528;498.365), null, null, null, null, null]
[(727.3178;79.773605), (229.97581;300.3332), (492.38837;194.2864), (729.03217;10.6755495), (68.29518;898.5139), null, null, null, null, null]
[(178.06404;85.6294), (715.21625;103.73455), (218.0996;239.88945), (125.508965;76.89684), (107.37211;696.34375), null, null, null, null, null]
[(305.73975;803.7563), (156.2286;493.43903), (864.55475;929.1771), (707.83826;453.17685), (647.44684;163.39284), (836.38007;258.7989), (822.31305;924.821), null, null, null]
[(281.96674;230.06236), (943.4207;793.09973), (456.11386;454.46045), (552.9615;398.55795), (220.34573;410.76523), (910.96625;70.76692), (371.86832;382.52628), (17.372787;793.21875), (849.42194;990.2322), null]
